anio	comuna	codigo_comuna	region	id_region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v1_cat	v3	v3_cat	v2	v2_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	Pelluhue	07203	Maule	7	8361	0.538	0.202	0.453	236	BAJO	0.504	MEDIO ALTO	0.509	MEDIO ALTO	0.348	BAJO	0.23	0.555	0.037	0.51
2024	Curicó	07301	Maule	7	169681	0.624	0.174	0.602	18	ALTO	0.614	ALTO	0.582	ALTO	0.61	ALTO	0.943	0.86	0.846	0.841
2024	Hualañé	07302	Maule	7	10230	0.516	0.161	0.533	119	MEDIO ALTO	0.403	BAJO	0.713	ALTO	0.483	MEDIO BAJO	0.61	0.21	0.494	0.977
2024	Licantén	07303	Maule	7	6989	0.57	0.144	0.526	132	MEDIO ALTO	0.505	MEDIO ALTO	0.597	ALTO	0.475	MEDIO BAJO	0.567	0.558	0.471	0.886
2024	Molina	07304	Maule	7	51539	0.544	0.179	0.511	151	MEDIO ALTO	0.465	MEDIO BAJO	0.475	MEDIO BAJO	0.594	ALTO	0.513	0.433	0.811	0.383
2024	Rauco	07305	Maule	7	11632	0.539	0.187	0.447	247	BAJO	0.484	MEDIO BAJO	0.346	BAJO	0.512	MEDIO ALTO	0.181	0.468	0.59	0.079
2024	Romeral	07306	Maule	7	16742	0.595	0.164	0.452	239	BAJO	0.453	MEDIO BAJO	0.466	MEDIO BAJO	0.438	MEDIO BAJO	0.214	0.381	0.323	0.343
2024	Sagrada Familia	07307	Maule	7	19692	0.562	0.166	0.485	184	MEDIO BAJO	0.35	BAJO	0.693	ALTO	0.411	BAJO	0.393	0.014	0.207	0.971
2024	Teno	07308	Maule	7	31639	0.545	0.187	0.47	212	MEDIO BAJO	0.418	MEDIO BAJO	0.556	MEDIO ALTO	0.438	MEDIO BAJO	0.297	0.267	0.323	0.733
2024	Vichuquén	07309	Maule	7	4329	0.568	0.202	NA	NA	NA	0.455	MEDIO BAJO	NA	NA	0.366	BAJO	NA	0.39	0.08	NA
2024	Linares	07401	Maule	7	103303	0.619	0.105	0.547	85	MEDIO ALTO	0.535	MEDIO ALTO	0.596	ALTO	0.509	MEDIO ALTO	0.72	0.637	0.578	0.883
2024	Colbún	07402	Maule	7	23262	0.566	0.204	0.425	267	BAJO	0.415	BAJO	0.449	MEDIO BAJO	0.411	BAJO	0.115	0.25	0.207	0.263
2024	Longaví	07403	Maule	7	33467	0.492	0.215	0.424	268	BAJO	0.393	BAJO	0.513	MEDIO ALTO	0.366	BAJO	0.112	0.161	0.08	0.548
2024	Parral	07404	Maule	7	45347	0.559	0.136	0.52	138	MEDIO ALTO	0.539	MEDIO ALTO	0.545	MEDIO ALTO	0.475	MEDIO BAJO	0.547	0.645	0.471	0.668
2024	Retiro	07405	Maule	7	21397	0.474	0.189	0.418	270	BAJO	0.374	BAJO	0.476	MEDIO BAJO	0.403	BAJO	0.105	0.083	0.175	0.393
