anio	codigo_comuna	comuna	tipo_comuna	id_region	region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v2	v3	v1_ranking	v2_ranking	v3_ranking	v1_cat	v2_cat	v3_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	06310	Santa Cruz	Mixto	6	Libertador General Bernardo O'Higgins	41209	0.596	0.106	0.502	160	MEDIO BAJO	0.515	0.464	0.527	143	207	120	MEDIO ALTO	MEDIO BAJO	MEDIO ALTO	0.47	0.59	0.407	0.61
2024	07101	Talca	Urbano	7	Maule	232131	0.658	0.106	0.57	54	ALTO	0.655	0.509	0.546	26	149	101	ALTO	MEDIO ALTO	MEDIO ALTO	0.823	0.927	0.578	0.671
2024	07102	Constitución	Mixto	7	Maule	47004	0.582	0.172	0.517	140	MEDIO ALTO	0.497	0.538	0.515	166	117	136	MEDIO ALTO	MEDIO ALTO	MEDIO ALTO	0.537	0.526	0.674	0.555
2024	07103	Curepto	Rural	7	Maule	9519	0.5	0.125	0.526	131	MEDIO ALTO	0.376	0.554	0.649	310	103	18	BAJO	MEDIO ALTO	ALTO	0.567	0.106	0.735	0.945
2024	07104	Empedrado	Rural	7	Maule	3990	0.453	0.181	0.394	289	BAJO	0.341	0.385	0.456	345	309	216	BAJO	BAJO	MEDIO BAJO	0.049	0.003	0.121	0.29
2024	07105	Maule	Mixto	7	Maule	61081	0.614	0.11	0.445	252	BAJO	0.421	0.403	0.51	250	292	147	MEDIO BAJO	BAJO	MEDIO ALTO	0.168	0.276	0.175	0.521
2024	07106	Pelarco	Rural	7	Maule	9229	0.562	0.206	0.544	96	MEDIO ALTO	0.375	0.573	0.684	315	81	11	BAJO	ALTO	ALTO	0.69	0.095	0.776	0.968
2024	07107	Pencahue	Rural	7	Maule	9181	0.588	0.206	NA	NA	NA	0.392	0.403	NA	292	293	NA	BAJO	BAJO	NA	NA	0.158	0.175	NA
2024	07108	Río Claro	Rural	7	Maule	14276	0.519	0.208	0.456	229	BAJO	0.388	0.52	0.46	297	138	210	BAJO	MEDIO ALTO	MEDIO BAJO	0.243	0.147	0.619	0.31
2024	07109	San Clemente	Rural	7	Maule	47380	0.523	0.18	0.573	46	ALTO	0.458	0.69	0.57	208	15	70	MEDIO BAJO	ALTO	ALTO	0.853	0.398	0.968	0.776
2024	07110	San Rafael	Rural	7	Maule	11230	0.541	0.12	NA	NA	NA	0.408	0.422	NA	271	266	NA	BAJO	BAJO	NA	NA	0.218	0.244	NA
2024	07201	Cauquenes	Rural	7	Maule	42798	0.544	0.161	0.537	111	MEDIO ALTO	0.552	0.472	0.588	108	196	44	MEDIO ALTO	MEDIO BAJO	ALTO	0.637	0.692	0.442	0.864
